table_name,prev_hash,cur_hash,status
dim_mandal,e6ae629c674cd924d1cd11aa68cd16cbf627a7c4478ab243650bcdb45ec46976,e6ae629c674cd924d1cd11aa68cd16cbf627a7c4478ab243650bcdb45ec46976,UNCHANGED
dim_occupation,c85b2a8bbd2abfd3b95968b75fbc4fc1345fe4e5b714194a2d8fa7402efacc02,c85b2a8bbd2abfd3b95968b75fbc4fc1345fe4e5b714194a2d8fa7402efacc02,UNCHANGED
dim_person,3ec164378a7145de0f760a5178f345a0d13ce7a7768275f591747d0f2ca6deef,17601c8dabdeeee92102c9325e4649e4d402c120fdbf551b8036ce2d454b4b4c,CHANGED
dim_property,37cf366cc2757444c0259bccfb4eadb089f27c142960b409c6951cb84ab06b02,6506bf9989fb0db585e4b40b9420954d4863742558f58d5f8a867fbfe02f32aa,CHANGED
dim_property_tax,5280268332e900a765d774840b0838a8960a67f18d42f36cc7bdf2fcf3a00ea8,5280268332e900a765d774840b0838a8960a67f18d42f36cc7bdf2fcf3a00ea8,UNCHANGED
dim_scheme,ef9210e1b78df0f454ca0d306b22d2fd8c5d93a46cc1c76621aa43a5a6278c33,ef9210e1b78df0f454ca0d306b22d2fd8c5d93a46cc1c76621aa43a5a6278c33,UNCHANGED
dim_scheme_main_mapping,,76e6335aaecd46510dffec08b1f4dfed56d4082ee9a78387c4901e11e54379df,NEW
dim_secretariat,,0cda24aa377e960c6f0990d7a213dfdeb8a265cc916b2526fc418d2b075e23d9,NEW
dim_social_welfare,de3d0a23a039bdc351b484c538e25354642f5c327875a1a84075ae0d229314aa,afe47cc019ce408d68f3c08e61770828b3cebd07e7bd9a5706a2ba0338b79e38,CHANGED
dim_state,5d26ada3ae196072649f8eea529218cfde2619c231983fc123185c6c4d68a9e2,5d26ada3ae196072649f8eea529218cfde2619c231983fc123185c6c4d68a9e2,UNCHANGED
dim_student,2c2ac4208e6549089e419cd1156163f9722bbadd99efc1a17565c77c128f33b3,d814c6e01a400088f2c0fb0da3ea16862f72a5ff8c0e0af5f7571261258a48f6,CHANGED
dim_tax_profile,51d7ede96f0bb8df1a4472261b6791a0b21f4e4260f4ee688533597cbd60edd8,51d7ede96f0bb8df1a4472261b6791a0b21f4e4260f4ee688533597cbd60edd8,UNCHANGED
dim_utility_connection,fe7f02ce961be8d67a3b278ca93cdf616dd0a0e2f80299e2ac70d0113e7f4742,2ac597e0f0dbe4fa84a5a4f1974fe06b701b348b5a35c493c4d6733079176bf8,CHANGED
dim_vehicle,3c0d6635dbcebc1c61494a8d81732bc0cbcc56ebc622967801a993d93deba606,860d9e79b8b1bbd9ae00eebddae5ad07740ce23a9628c8208c2787c5b5f68246,CHANGED
dim_vehicle_compliance,ba585f1e64992ffbbe1892093cebe880f0caf8a3e3d31b2dabf8b2a3ec4c6810,ba585f1e64992ffbbe1892093cebe880f0caf8a3e3d31b2dabf8b2a3ec4c6810,UNCHANGED
dim_village,dbc3cc5d29093302632953f13dd2304f01610a7ab0b6646f2fd9230db01bf406,dbc3cc5d29093302632953f13dd2304f01610a7ab0b6646f2fd9230db01bf406,UNCHANGED
fact_benefit_transaction,26e6873365367e5439eb3cb8f95f5435dab99f1d422776f15b376cd1e7bd9d31,26e6873365367e5439eb3cb8f95f5435dab99f1d422776f15b376cd1e7bd9d31,UNCHANGED
fact_entitlement,d7d4c7d635a131826b1c1dbc6f3a9669a040fca549bd3d40b3c9627c30f99801,d7d4c7d635a131826b1c1dbc6f3a9669a040fca549bd3d40b3c9627c30f99801,UNCHANGED
fact_event_acknowledgement,,91ccce1c2ff5e8c5ecc3a78946a9c2c604bf3bb0169c0b210d8a5cdd0df78b95,NEW
fact_event_details,,e1cb68a5d48807070567212277d24767e6ad472c278295622b80566539a7804a,NEW
fact_event_index,,09932e9908af0e1f1749218e75a9f1fd6646ea013802ffa30b48dfe68b63a568,NEW
fact_event_request_registry,,7142c795c9ce83b030ab99cd3fcd23178f60bd16a0fd607d11b0a724a3ae9165,NEW
fact_event_status_update,,7b190ad05b10b5a1d8d52a001bb2c7495b8a5426e24f38c046d62acf88ad9407,NEW
fact_population_hierarchy,c42064443060edabdde7d87bdfdb2a96f9a5a4a9b162589b21ff6b11e2e63e0c,c42064443060edabdde7d87bdfdb2a96f9a5a4a9b162589b21ff6b11e2e63e0c,UNCHANGED
fact_scheme_disbursement,21defee8fc315e1b327b4c6cd31f60a659275e892b440437bc15950ab0a33cb4,21defee8fc315e1b327b4c6cd31f60a659275e892b440437bc15950ab0a33cb4,UNCHANGED
