table_name,prev_hash,cur_hash,status
dim_agriculture_profile,7dfbc28d08399b3ce8014206c07fbb28c44b69e2350d69ef35f15124c4457669,1c6e43f9317f333b70ff25ad3afb549b8dce3506eeb306c0d498e7ebe298c4bb,CHANGED
dim_citizen_identifier,c617f51f6fc89f2b40d619bc921075c14d892e59d4331fab23f8252c548a02cf,70b365654603693153b3de40c32aece5b9ed41e65c7afbf0e8b2e0b9381b389e,CHANGED
dim_consent,9fc75071ade47c2bd6e9d88d8f4142b02aa207950a32a3409e5312298e8ea07e,bf7960141509ffa7d3590ece72bfe5b8127692127c44256ce7a33ff79c1941c2,CHANGED
dim_crop_sale,e3610fdf6fac70811f75c0b652e3cee313cc332217482ea1ccb78c0d463132b8,e3610fdf6fac70811f75c0b652e3cee313cc332217482ea1ccb78c0d463132b8,UNCHANGED
dim_department,437699cdc47aed98e234aca2b4b0f6c7812549d8a50c643e80798861fc07fb7c,437699cdc47aed98e234aca2b4b0f6c7812549d8a50c643e80798861fc07fb7c,UNCHANGED
dim_department_client,c5b78877eb9b2b33a163496b4ccb5ebf7928745aab94ab994ee7b0090141b6ba,38de3d41bfb54bd0aa7fec578bf19cef62c81eb9a24978a4cc9c45fd0b40817c,CHANGED
dim_district,2b04bd0b9c6955d9ca19a7aa93c05a8924231a19780ea4bbd6bad0c5e6ff417d,2b04bd0b9c6955d9ca19a7aa93c05a8924231a19780ea4bbd6bad0c5e6ff417d,UNCHANGED
dim_driving_licence,,4946b05bf8b901e6f6512a4be2f847929de7e2a083c1543de2d229c8f72ae93a,NEW
dim_epfo_contribution,883ef659df57b8ae754731bd478cd7439b716a43b0f6f0b77af556605b6a136b,883ef659df57b8ae754731bd478cd7439b716a43b0f6f0b77af556605b6a136b,UNCHANGED
dim_family_member,01f5430691640fb91b05f6cf997c44f527c04664a36cd9f9e92dca7561de1588,01f5430691640fb91b05f6cf997c44f527c04664a36cd9f9e92dca7561de1588,UNCHANGED
dim_health_profile,a333714592b29bbf3b369aad34f655b6ca0e78fb63e4d78396940da18e018535,bcd85bdf632aba4befd00017186d5389879fdbfab605000255a5c796f20d740d,CHANGED
dim_household,3abf157f37c168d23178f86adf66e36696ce2af0af88e10dc6d5748ae54de24d,3abf157f37c168d23178f86adf66e36696ce2af0af88e10dc6d5748ae54de24d,UNCHANGED
dim_land,6c60731f7d56375f0ab1e89c84ec8c254eab2361d0c726cf6781aaaccd42d5e4,bcd192c3d165c846670d6f4ea82bf9c8c042f33b6fd9cdcf931bde0a69c70411,CHANGED
